,Neo-Assyrian,Hellenistic,Neo-Babylonian,Old Assyrian,Middle Assyrian,Middle Babylonian,"Neo-Assyrian, Neo-Babylonian",Achaemenid,Old Babylonian,unspecified,Seleucid,Uncertain,Standard Babylonian,uncertain,Late Babylonian,ED IIIb,Early Dynastic,First Millennium,ED IIIa,Old Akkadian,Ur III,Lagaֵ¡ II
unspecified,1280684.0,2952.0,10542.0,119.0,9596.0,59721.0,,726.0,34835.0,17905.0,598.0,,765.0,114.0,1218.0,310.0,6982.0,1419.0,138.0,1346.0,9409.0,5400.0
Akkadian,823812.0,8662.0,52435.0,7418.0,66360.0,2127.0,,25231.0,95.0,10055.0,5373.0,903.0,,,,,,,,18.0,21.0,
Sumerian,2245.0,,245.0,,,1090.0,,,9641.0,,8.0,4.0,,,,,,,,,451.0,
"Akkadian, Aramaic, Luwian",236.0,,,,,,,,,,,,,,,,,,,,,
"Akkadian, Aramaic",616.0,,,,,,,55.0,,,,,,,,,,,,,,
"Sumerian, Akkadian",30917.0,24870.0,5920.0,,480.0,1365.0,2283.0,,334.0,1225.0,,,,,,,,,,,,
Sumerian/Akkadian Bilingual,1673.0,,,,,,,477.0,,,2914.0,27.0,,,,,,,,,,
bilingual,399.0,,,,,28.0,,,,,,34.0,,,,,,,,,,
Akkadian?,176.0,,,,,,,,,,,,,,,,,,,,,
Aramaic,20.0,,,,,,,,,,,,,,,,,,,,,
Sumerian; Akkadian,29.0,,76.0,,,,,,75.0,,,,,,,,,,,,,
akkadian,,,239.0,,,,,,,,,,,,,,,,,,,
Sumerian (Akkadian colophon),,,39.0,,,,,,,,,,,,,,,,,,,
